Wavelength,RH_R_P3,RH_DMSO_P3,LH_R_P1,LH_DMSO_P1,RH_P3,LH_P1
213.47,-0.339003986642945,-2.45547595054216,0.167867783024506,0.250005744231431,1.91497940742606,-0.894932061833835
213.95,-0.337985981417454,-2.44300779372781,0.156232042237136,0.231373854576838,1.85809648150996,-0.913156981630487
214.43,-0.336673427553096,-2.43076336748895,0.144351743599866,0.213012392563379,1.801182014693,-0.931213692055816
214.91,-0.335053833285781,-2.41876265816715,0.132221135218775,0.194913270449803,1.74428572485664,-0.949115448324112
215.4,-0.333066330053554,-2.40678540163356,0.119574010615973,0.176697651072979,1.68627927237818,-0.967241733815407
215.88,-0.330771480213606,-2.39534300048563,0.106922338737986,0.159098254520635,1.62958891858662,-0.984860929363876
216.36,-0.328108602998269,-2.38421094073207,0.0940086930328715,0.141729696545864,1.57309048209973,-1.00234925276077
216.84,-0.325050504772591,-2.37341291995029,0.0808330449945597,0.124581317302608,1.51684802824903,-1.01970688524691
217.32,-0.321566064325426,-2.36297434658719,0.0673982196402495,0.107642684368505,1.46092952476137,-1.036928843871
217.8,-0.317618639343612,-2.35292291997489,0.0537100823475145,0.0909028300914295,1.40540815341811,-1.05400589914895
218.28,-0.313165902839073,-2.34328998811478,0.0397771110440338,0.0743499607999731,1.35036344108088,-1.07092369357484
218.76,-0.308157888793253,-2.33411107478244,0.0256101010515493,0.0579702490517881,1.2958823847133,-1.08766145364216
219.25,-0.302411637981264,-2.32525214145513,0.0109194720297077,0.0414115981882562,1.24094804308396,-1.10453052110516
219.73,-0.296088275056283,-2.31712444440243,-0.00368141820099885,0.0253315065086372,1.18791248930938,-1.12079677400452
220.21,-0.288985368898109,-2.30959931700159,-0.0184773195610325,0.00936991998840781,1.13577050155895,-1.1367416857425
220.69,-0.280985692714239,-2.30274307718147,-0.0334566892803785,-0.00649585565020314,1.0846634774364,-1.15227376813882
221.17,-0.271938246212046,-2.29663175380713,-0.0486104224397743,-0.0222891203113312,1.03475561213493,-1.1672675935357
221.65,-0.261650259944842,-2.29135397653063,-0.0639317359309007,-0.03803085826923,0.986238112451283,-1.18155233231319
222.13,-0.249877063202688,-2.28701270679546,-0.0794150563511728,-0.0537360503986888,0.939334305103394,-1.19489773465973
222.61,-0.236313683858038,-2.28372740536756,-0.0950555504083527,-0.0694051071022313,0.894304069538992,-1.20699439740361
223.09,-0.220587100680645,-2.28163641188658,-0.110845382931254,-0.0850132248164907,0.8514459844494,-1.21743185606178
